location1,lat1,lon1,location2,lat2,lon2,count
"Boston, MA",42.3604823,-71.0595677,"New York, NY",40.7305991,-73.9865811,1526
"Bethesda, MD",38.9848265,-77.0946458,"Boston, MA",42.3604823,-71.0595677,1124
"Boston, MA",42.3604823,-71.0595677,"La Jolla, CA",32.8472711,-117.2742085,1008
"Baltimore, MD",39.2908608,-76.6108072,"Bethesda, MD",38.9848265,-77.0946458,996
"Boston, MA",42.3604823,-71.0595677,"Los Angeles, CA",34.0543942,-118.2439408,916
"Bethesda, MD",38.9848265,-77.0946458,"New York, NY",40.7305991,-73.9865811,908
"Baltimore, MD",39.2908608,-76.6108072,"Boston, MA",42.3604823,-71.0595677,882
"Baltimore, MD",39.2908608,-76.6108072,"New York, NY",40.7305991,-73.9865811,836
"Boston, MA",42.3604823,-71.0595677,"Chicago, IL",41.8755546,-87.6244211,756
"Boston, MA",42.3604823,-71.0595677,"Philadelphia, PA",39.9523993,-75.1635898,752
"Los Angeles, CA",34.0543942,-118.2439408,"New York, NY",40.7305991,-73.9865811,748
"Chicago, IL",41.8755546,-87.6244211,"New York, NY",40.7305991,-73.9865811,694
"La Jolla, CA",32.8472711,-117.2742085,"New York, NY",40.7305991,-73.9865811,686
"Boston, MA",42.3604823,-71.0595677,"San Francisco, CA",37.7792808,-122.4192362,682
"New York, NY",40.7305991,-73.9865811,"Philadelphia, PA",39.9523993,-75.1635898,664
"Bethesda, MD",38.9848265,-77.0946458,"Los Angeles, CA",34.0543942,-118.2439408,606
"La Jolla, CA",32.8472711,-117.2742085,"Los Angeles, CA",34.0543942,-118.2439408,596
"Boston, MA",42.3604823,-71.0595677,"Stanford, CA",37.4265649,-122.170187551249,572
"Boston, MA",42.3604823,-71.0595677,"Durham, NC",35.9940329,-78.8986189,550
"New York, NY",40.7305991,-73.9865811,"San Francisco, CA",37.7792808,-122.4192362,544
"Bethesda, MD",38.9848265,-77.0946458,"La Jolla, CA",32.8472711,-117.2742085,540
"Atlanta, GA",33.7490987,-84.3901848,"Boston, MA",42.3604823,-71.0595677,522
"Bethesda, MD",38.9848265,-77.0946458,"Chicago, IL",41.8755546,-87.6244211,506
"Baltimore, MD",39.2908608,-76.6108072,"La Jolla, CA",32.8472711,-117.2742085,506
"Baltimore, MD",39.2908608,-76.6108072,"Los Angeles, CA",34.0543942,-118.2439408,504
"Bethesda, MD",38.9848265,-77.0946458,"Philadelphia, PA",39.9523993,-75.1635898,504
"New York, NY",40.7305991,-73.9865811,"Stanford, CA",37.4265649,-122.170187551249,480
"Boston, MA",42.3604823,-71.0595677,"New Haven, CT",41.3082138,-72.9250517,478
"Boston, MA",42.3604823,-71.0595677,"Saint Louis, MO",38.6272733,-90.1978888,472
"Boston, MA",42.3604823,-71.0595677,"Pittsburgh, PA",40.4416941,-79.990086,462
"Bethesda, MD",38.9848265,-77.0946458,"San Francisco, CA",37.7792808,-122.4192362,434
"New Haven, CT",41.3082138,-72.9250517,"New York, NY",40.7305991,-73.9865811,434
"La Jolla, CA",32.8472711,-117.2742085,"San Francisco, CA",37.7792808,-122.4192362,434
"Chicago, IL",41.8755546,-87.6244211,"Los Angeles, CA",34.0543942,-118.2439408,432
"Houston, TX",29.7589382,-95.3676973,"New York, NY",40.7305991,-73.9865811,430
"Los Angeles, CA",34.0543942,-118.2439408,"San Francisco, CA",37.7792808,-122.4192362,426
"Baltimore, MD",39.2908608,-76.6108072,"Chicago, IL",41.8755546,-87.6244211,422
"Chicago, IL",41.8755546,-87.6244211,"La Jolla, CA",32.8472711,-117.2742085,422
