location,poster_count,latitude,longitude,relation_count
"New York, NY",7804,40.7305991,-73.9865811,24130
"Baltimore, MD",4680,39.2908608,-76.6108072,15328
"Chicago, IL",4378,41.8755546,-87.6244211,13548
"Los Angeles, CA",4230,34.0543942,-118.2439408,15438
"Boston, MA",7068,42.3604823,-71.0595677,28244
"Philadelphia, PA",3466,39.9523993,-75.1635898,12104
"Bethesda, MD",5200,38.9848265,-77.0946458,19390
"Atlanta, GA",2672,33.7490987,-84.3901848,8896
"La Jolla, CA",3656,32.8472711,-117.2742085,15226
"Pittsburgh, PA",2404,40.4416941,-79.990086,8012
"New Haven, CT",1880,41.3082138,-72.9250517,7984
"Ann Arbor, MI",1712,42.2681569,-83.731229,6650
"Houston, TX",1562,29.7589382,-95.3676973,7882
"Nashville, TN",1432,36.1622296,-86.774353,4774
"Seattle, WA",1370,47.6038321,-122.3300623,6334
"Durham, NC",2028,35.9940329,-78.8986189,9520
"San Francisco, CA",2210,37.7792808,-122.4192362,10986
"Stanford, CA",1720,37.4265649,-122.170187551249,9426
"Madison, WI",1200,43.074761,-89.3837612,5888
"Gainesville, FL",1162,29.651907,-82.3247975,5568
"Irvine, CA",1158,33.6856969,-117.8259818,5330
"Minneapolis, MN",1078,44.9772995,-93.2654691,4798
"Milwaukee, WI",1066,43.0349931,-87.9224969,3284
"Saint Louis, MO",1392,38.6272733,-90.1978888,8196
"Portland, OR",1038,45.5202471,-122.6741948,3586
"Iowa City, IA",892,41.6612561,-91.5299105,3420
"Birmingham, AL",886,33.5206824,-86.8024325,3922
"Cleveland, OH",880,41.5051613,-81.6934445,4266
"Austin, TX",855,30.2711286,-97.7436994,3206
"Charleston, SC",842,32.7876012,-79.9402727,2448
"Dallas, TX",1002,32.7762719,-96.7968558,6342
"Davis, CA",1006,38.545379,-121.7445834,4328
"San Antonio, TX",734,29.4246002,-98.4951404,2978
"Lexington, KY",726,38.0464066,-84.4970392,3290
"Providence, RI",712,41.8239891,-71.4128342,2464
"Tucson, AZ",674,32.2217422,-110.9264758,2070
"Princeton, NJ",1108,40.3492744,-74.6592957,5650
"Columbus, OH",630,39.9622601,-83.0007064,2634
"Boulder, CO",628,40.0149856,-105.2705455,1978
"Tempe, AZ",1030,33.4144139,-111.9094473,5242
"Indianapolis, IN",586,39.7683331,-86.1583501,4608
"Salt Lake City, UT",732,40.7670126,-111.8904307,2672
"Rochester, NY",564,43.1572851,-77.615214,2676
"Cincinnati, OH",562,39.1014537,-84.5124601,2200
"Miami, FL",536,25.7742658,-80.1936588,2582
"New Orleans, LA",528,29.9499323,-90.0701155,3058
"Urbana, IL",738,40.1117174,-88.2073009,3476
"Tallahassee, FL",496,30.4380832,-84.2809331,2206
"Detroit, MI",482,42.3486635,-83.0567374,2904
"East Lansing, MI",480,42.7355416,-84.4852468,2066
"Albany, NY",476,42.6511674,-73.7549679,2020
"Memphis, TN",472,35.1490215,-90.0516284,2616
"Richmond, VA",467,37.5385087,-77.4342799,2160
"Albuquerque, NM",446,35.0841034,-106.650985,2524
"College Station, TX",434,30.6253463,-96.3271537,2038
"Stony Brook, NY",430,40.9256538,-73.1409429,2402
"Bloomington, IN",418,39.1670396,-86.534288,1572
"Charlottesville, VA",398,38.029306,-78.476678,2546
"Galveston, TX",394,29.299328,-94.7945881,2106
"Tampa, FL",382,27.9477595,-82.4584439,2760
"Columbia, MO",374,38.951883,-92.3337365,2164
"Winston Salem, NC",632,36.0998131,-80.2440517,2840
"Buffalo, NY",344,42.8971799,-78.8533217725477,2520
"Ashburn, VA",338,39.0437192,-77.4874898,1820
"North Chicago, IL",336,42.325578,-87.8411817,1452
"Omaha, NE",334,41.2587317,-95.9378731,1478
"Augusta, GA",334,33.4709714,-81.9748428,3362
"Morgantown, WV",332,39.629526,-79.9558967,1958
"Aurora, CO",332,39.729432,-104.8319195,912
"Storrs, CT",326,41.8084314,-72.249523,1770
"Burlington, VT",324,44.4723989,-73.211494,598
"Hanover, NH",482,43.7033561,-72.2885717,2372
"Louisville, KY",294,38.2542376,-85.7594069,1662
"Fort Worth, TX",470,32.753177,-97.3327458,2070
"Jackson, MS",288,32.4104385,-90.162064888255,1778
"Santa Barbara, CA",288,34.4098107,-119.6970238,1016
"University Park, PA",282,40.8005307,-77.8624446,1950
"Ithaca, NY",282,42.4396039,-76.4968018,962
"Rochester, MN",270,44.0233269,-92.4630214,1940
"Riverside, CA",426,33.9533546,-117.3961622,2438
"Pullman, WA",260,46.7304268,-117.1738949,1154
"Hershey, PA",252,40.2854881,-76.6506,1320
"Columbia, SC",252,34.0007493,-81.0343312,1146
"Tulsa, OK",246,36.1556805,-95.9929112,544
"Binghamton, NY",246,42.096968,-75.9143409,732
"Groton, CT",242,41.3506989,-72.0773653,2750
"Boca Raton, FL",238,26.3586885,-80.0830983,1344
"Kent, OH",232,41.1536674,-81.3578859,1136
"Jupiter, FL",228,26.9266939,-80.1220890180725,1424
"Worcester, MA",222,42.2625932,-71.8022933,1494
"Kansas City, KS",216,39.1146799,-94.7495245,1136
"Orangeburg, NY",348,41.0465776,-73.9496706,1796
"Athens, GA",204,33.9595974,-83.3766779,1356
"Cold Spring Harbor, NY",196,40.8714873,-73.4567879,916
"Little Rock, AR",192,34.7464809,-92.2895947,1556
"Grand Forks, ND",186,47.9078244,-97.0592027,566
"Lawrence, KS",186,38.9719384,-95.2359495,1172
"Vermillion, SD",184,42.7794417,-96.9292103,1204
"Jefferson, AR",182,34.2711667,-91.9248306,1248
"Toledo, OH",178,41.6786754,-83.5127282,956
"El Paso, TX",176,31.8111305,-106.501349295577,596
"Eugene, OR",174,44.0505054,-123.0950505,512
"West Lafayette, IN",174,40.4258686,-86.9080654,1556
"Newark, DE",170,39.6852191,-75.7508288,636
"Bar Harbor, ME",162,44.3864565,-68.2118569811003,1464
"Amherst, MA",160,42.3803676,-72.5231429,340
"Provo, UT",156,40.2338438,-111.6585336,582
"Pomona, CA",152,34.0553813,-117.7517495,748
"Johnson City, TN",152,36.3134398,-82.3534727,1100
"Farmington, CT",150,41.7198216,-72.8320434,546
"Syracuse, NY",140,43.0481221,-76.1474243,742
"Shreveport, LA",134,32.4828485,-93.8284831615932,1000
"Oxford, OH",132,39.5103048,-84.7420518,302
