location1,lat1,lon1,location2,lat2,lon2,count
"Boston, MA",42.3604823,-71.0595677,"New York, NY",40.7305991,-73.9865811,1284
"Bethesda, MD",38.9848265,-77.0946458,"Boston, MA",42.3604823,-71.0595677,922
"Boston, MA",42.3604823,-71.0595677,"La Jolla, CA",32.8472711,-117.2742085,900
"Boston, MA",42.3604823,-71.0595677,"Los Angeles, CA",34.0543942,-118.2439408,808
"Bethesda, MD",38.9848265,-77.0946458,"New York, NY",40.7305991,-73.9865811,754
"Baltimore, MD",39.2908608,-76.6108072,"Bethesda, MD",38.9848265,-77.0946458,746
"Baltimore, MD",39.2908608,-76.6108072,"Boston, MA",42.3604823,-71.0595677,726
"Boston, MA",42.3604823,-71.0595677,"Chicago, IL",41.8755546,-87.6244211,674
"Los Angeles, CA",34.0543942,-118.2439408,"New York, NY",40.7305991,-73.9865811,662
"Baltimore, MD",39.2908608,-76.6108072,"New York, NY",40.7305991,-73.9865811,656
"Chicago, IL",41.8755546,-87.6244211,"New York, NY",40.7305991,-73.9865811,614
"La Jolla, CA",32.8472711,-117.2742085,"New York, NY",40.7305991,-73.9865811,608
"Boston, MA",42.3604823,-71.0595677,"Philadelphia, PA",39.9523993,-75.1635898,572
"Korea, Republic Of",35.3985008,127.937111,"Seoul, Republic Of Korea",37.5666791,126.9782914,566
"Boston, MA",42.3604823,-71.0595677,"San Francisco, CA",37.7792808,-122.4192362,560
"La Jolla, CA",32.8472711,-117.2742085,"Los Angeles, CA",34.0543942,-118.2439408,550
"Bethesda, MD",38.9848265,-77.0946458,"Los Angeles, CA",34.0543942,-118.2439408,532
"New York, NY",40.7305991,-73.9865811,"Philadelphia, PA",39.9523993,-75.1635898,502
"Boston, MA",42.3604823,-71.0595677,"Durham, NC",35.9940329,-78.8986189,476
"Beijing, China",39.9059631,116.391248,"Boston, MA",42.3604823,-71.0595677,464
"Bethesda, MD",38.9848265,-77.0946458,"La Jolla, CA",32.8472711,-117.2742085,454
"Baltimore, MD",39.2908608,-76.6108072,"Los Angeles, CA",34.0543942,-118.2439408,448
"Atlanta, GA",33.7490987,-84.3901848,"Boston, MA",42.3604823,-71.0595677,446
"Bethesda, MD",38.9848265,-77.0946458,"Chicago, IL",41.8755546,-87.6244211,438
"Boston, MA",42.3604823,-71.0595677,"New Haven, CT",41.3082138,-72.9250517,434
"Boston, MA",42.3604823,-71.0595677,"Korea, Republic Of",35.3985008,127.937111,434
"Baltimore, MD",39.2908608,-76.6108072,"La Jolla, CA",32.8472711,-117.2742085,426
"New York, NY",40.7305991,-73.9865811,"San Francisco, CA",37.7792808,-122.4192362,424
"Boston, MA",42.3604823,-71.0595677,"Stanford, CA",37.4265649,-122.170187551249,418
"Chicago, IL",41.8755546,-87.6244211,"Los Angeles, CA",34.0543942,-118.2439408,400
"Chicago, IL",41.8755546,-87.6244211,"La Jolla, CA",32.8472711,-117.2742085,392
"New York, NY",40.7305991,-73.9865811,"Stanford, CA",37.4265649,-122.170187551249,390
"Boston, MA",42.3604823,-71.0595677,"Pittsburgh, PA",40.4416941,-79.990086,386
"Los Angeles, CA",34.0543942,-118.2439408,"San Francisco, CA",37.7792808,-122.4192362,384
"La Jolla, CA",32.8472711,-117.2742085,"San Francisco, CA",37.7792808,-122.4192362,382
"Saitama, Japan",36.0183923,139.281463787943,"Tokyo, Japan",34.2255804,139.294774527387,378
"Boston, MA",42.3604823,-71.0595677,"Shanghai, China",31.2253441,121.4888922,372
"Baltimore, MD",39.2908608,-76.6108072,"Chicago, IL",41.8755546,-87.6244211,370
"New Haven, CT",41.3082138,-72.9250517,"New York, NY",40.7305991,-73.9865811,368
"Bethesda, MD",38.9848265,-77.0946458,"Philadelphia, PA",39.9523993,-75.1635898,364
"Beijing, China",39.9059631,116.391248,"New York, NY",40.7305991,-73.9865811,358
"Bethesda, MD",38.9848265,-77.0946458,"San Francisco, CA",37.7792808,-122.4192362,356
"Boston, MA",42.3604823,-71.0595677,"Saint Louis, MO",38.6272733,-90.1978888,356
"Boston, MA",42.3604823,-71.0595677,"Toronto, ON, Canada",43.6529206,-79.3849007,356
"Kyoto, Japan",35.0185804,135.763835,"Tokyo, Japan",34.2255804,139.294774527387,352
"Boston, MA",42.3604823,-71.0595677,"Houston, TX",29.7589382,-95.3676973,346
"Houston, TX",29.7589382,-95.3676973,"New York, NY",40.7305991,-73.9865811,344
"Osaka, Japan",34.704365,135.501887,"Tokyo, Japan",34.2255804,139.294774527387,332
"Bethesda, MD",38.9848265,-77.0946458,"Durham, NC",35.9940329,-78.8986189,328
"Okazaki, Japan",34.950974,137.260842,"Tokyo, Japan",34.2255804,139.294774527387,326
"Atlanta, GA",33.7490987,-84.3901848,"New York, NY",40.7305991,-73.9865811,326
"Beijing, China",39.9059631,116.391248,"Bethesda, MD",38.9848265,-77.0946458,324
"Durham, NC",35.9940329,-78.8986189,"New York, NY",40.7305991,-73.9865811,322
"Boston, MA",42.3604823,-71.0595677,"Seattle, WA",47.6038321,-122.3300623,322
"Korea, Republic Of",35.3985008,127.937111,"New York, NY",40.7305991,-73.9865811,310
"Atlanta, GA",33.7490987,-84.3901848,"Bethesda, MD",38.9848265,-77.0946458,308
"San Francisco, CA",37.7792808,-122.4192362,"Stanford, CA",37.4265649,-122.170187551249,304
"New York, NY",40.7305991,-73.9865811,"Princeton, NJ",40.3492744,-74.6592957,304
"Baltimore, MD",39.2908608,-76.6108072,"San Francisco, CA",37.7792808,-122.4192362,304
"Boston, MA",42.3604823,-71.0595677,"Montreal, QC, Canada",45.5087928,-73.5539819,304
"Baltimore, MD",39.2908608,-76.6108072,"Philadelphia, PA",39.9523993,-75.1635898,300
"Boston, MA",42.3604823,-71.0595677,"London, United Kingdom",51.5073219,-0.1276473,300
"Ann Arbor, MI",42.2681569,-83.731229,"Boston, MA",42.3604823,-71.0595677,294
"Boston, MA",42.3604823,-71.0595677,"Princeton, NJ",40.3492744,-74.6592957,294
"New York, NY",40.7305991,-73.9865811,"Shanghai, China",31.2253441,121.4888922,292
"Baltimore, MD",39.2908608,-76.6108072,"Beijing, China",39.9059631,116.391248,288
"Bethesda, MD",38.9848265,-77.0946458,"Pittsburgh, PA",40.4416941,-79.990086,282
"New York, NY",40.7305991,-73.9865811,"Toronto, ON, Canada",43.6529206,-79.3849007,282
"Beijing, China",39.9059631,116.391248,"Shanghai, China",31.2253441,121.4888922,280
"New York, NY",40.7305991,-73.9865811,"Pittsburgh, PA",40.4416941,-79.990086,280
"Los Angeles, CA",34.0543942,-118.2439408,"Philadelphia, PA",39.9523993,-75.1635898,278
"Boston, MA",42.3604823,-71.0595677,"Madison, WI",43.074761,-89.3837612,276
"La Jolla, CA",32.8472711,-117.2742085,"Stanford, CA",37.4265649,-122.170187551249,276
"New York, NY",40.7305991,-73.9865811,"Seattle, WA",47.6038321,-122.3300623,276
"Los Angeles, CA",34.0543942,-118.2439408,"Stanford, CA",37.4265649,-122.170187551249,274
"Beijing, China",39.9059631,116.391248,"Los Angeles, CA",34.0543942,-118.2439408,270
"Boston, MA",42.3604823,-71.0595677,"Gainesville, FL",29.651907,-82.3247975,270
"Boston, MA",42.3604823,-71.0595677,"Providence, RI",41.8239891,-71.4128342,268
"Bethesda, MD",38.9848265,-77.0946458,"Houston, TX",29.7589382,-95.3676973,258
