location,poster_count,latitude,longitude
"New York, NY",6616,40.7305991,-73.9865811
"Baltimore, MD",3846,39.2908608,-76.6108072
"Chicago, IL",3980,41.8755546,-87.6244211
"Los Angeles, CA",3736,34.0543942,-118.2439408
"Boston, MA",5990,42.3604823,-71.0595677
"Korea, Republic Of",2858,35.3985008,127.937111
"Philadelphia, PA",2794,39.9523993,-75.1635898
"La Jolla, CA",3324,32.8472711,-117.2742085
"Bethesda, MD",4282,38.9848265,-77.0946458
"Atlanta, GA",2294,33.7490987,-84.3901848
"Montreal, QC, Canada",2305,45.5087928,-73.5539819
"Pittsburgh, PA",2014,40.4416941,-79.990086
"London, United Kingdom",1900,51.5073219,-0.1276473
"Toronto, ON, Canada",1880,43.6529206,-79.3849007
"Tokyo, Japan",1856,34.2255804,139.294774527387
"New Haven, CT",1654,41.3082138,-72.9250517
"Ann Arbor, MI",1516,42.2681569,-83.731229
"Houston, TX",1362,29.7589382,-95.3676973
"Nashville, TN",1228,36.1622296,-86.774353
"Seattle, WA",1182,47.6038321,-122.3300623
"Vancouver, BC, Canada",1168,49.2608944,-123.1139382
"Stanford, CA",1354,37.4265649,-122.170187551249
"Durham, NC",1742,35.9940329,-78.8986189
"San Francisco, CA",1800,37.7792808,-122.4192362
"Madison, WI",1078,43.074761,-89.3837612
"Irvine, CA",1040,33.6856969,-117.8259818
"Gainesville, FL",1028,29.651907,-82.3247975
"Milwaukee, WI",942,43.0349931,-87.9224969
"Saint Louis, MO",1134,38.6272733,-90.1978888
"Minneapolis, MN",934,44.9772995,-93.2654691
"Paris, France",848,48.8564915,2.3521562
"Portland, OR",820,45.5202471,-122.6741948
"Iowa City, IA",808,41.6612561,-91.5299105
"Cleveland, OH",790,41.5051613,-81.6934445
"Birmingham, AL",782,33.5206824,-86.8024325
"Taipei, Taiwan",772,25.0375167,121.5637
"Austin, TX",737,30.2711286,-97.7436994
"Charleston, SC",720,32.7876012,-79.9402727
"Dallas, TX",716,32.7762719,-96.7968558
"Davis, CA",878,38.545379,-121.7445834
"Lexington, KY",644,38.0464066,-84.4970392
"Stockholm, Sweden",636,59.3251172,18.0710935
"Providence, RI",630,41.8239891,-71.4128342
"London, ON, Canada",620,42.988097,-81.2460294
"San Antonio, TX",620,29.4246002,-98.4951404
"Berlin, Germany",606,52.5170365,13.3888599
"Tucson, AZ",600,32.2217422,-110.9264758
"Boulder, CO",569,40.0149856,-105.2705455
"Tempe, AZ",918,33.4144139,-111.9094473
"Mexico City, Mexico",904,19.4325301,-99.1332101
"Princeton, NJ",972,40.3492744,-74.6592957
"Columbus, OH",532,39.9622601,-83.0007064
"Calgary, AB, Canada",528,51.0530588,-114.0625613
"Cambridge, United Kingdom",526,52.2033051,0.124862
"Indianapolis, IN",524,39.7683331,-86.1583501
"Beijing, China",520,39.9059631,116.391248
"Salt Lake City, UT",518,40.7670126,-111.8904307
"Rochester, NY",508,43.1572851,-77.615214
"Cincinnati, OH",508,39.1014537,-84.5124601
"Amsterdam, Netherlands",810,52.374436,4.8979956033677
"Tuebingen, Germany",706,48.5236164,9.0535531
"Kyoto, Japan",494,35.0185804,135.763835
"Ottawa, ON, Canada",490,45.4210328,-75.6900218
"New Orleans, LA",474,29.9499323,-90.0701155
"Miami, FL",472,25.7742658,-80.1936588
"Lausanne, Switzerland",466,46.5218269,6.6327025
"Oxford, United Kingdom",458,51.752225,-1.2583027
"Saitama, Japan",450,36.0183923,139.281463787943
"Urbana, IL",662,40.1117174,-88.2073009
"Santiago, Chile",444,-33.4377967,-70.650445
"Tallahassee, FL",436,30.4380832,-84.2809331
"Detroit, MI",432,42.3486635,-83.0567374
"East Lansing, MI",430,42.7355416,-84.4852468
"Albany, NY",424,42.6511674,-73.7549679
"Edmonton, AB, Canada",414,53.5343609,-113.5065084
"Memphis, TN",410,35.1490215,-90.0516284
"Kingston, ON, Canada",408,44.2298484,-76.4802834
"Sydney, Australia",402,-33.8548156,151.2164539
"Albuquerque, NM",402,35.0841034,-106.650985
"Osaka, Japan",392,34.704365,135.501887
"College Station, TX",388,30.6253463,-96.3271537
"Richmond, VA",383,37.5385087,-77.4342799
"Leuven, Belgium",376,50.88121295,4.69418278098918
"Nijmegen, Netherlands",372,51.84260195,5.8385196119892
"Sao Paulo, Brazil",699,-23.5506506,-46.6333823
"Stony Brook, NY",362,40.9256538,-73.1409429
"Bloomington, IN",360,39.1670396,-86.534288
"Shanghai, China",358,31.2253441,121.4888922
"Rome, Italy",348,41.8935085,12.4825526
"Galveston, TX",344,29.299328,-94.7945881
"Copenhagen, Denmark",332,55.6867243,12.5700724
"Munich, Germany",332,48.1371079,11.5753822
"Rio De Janeiro, Brazil",332,-22.9110136,-43.2093726
"Tampa, FL",328,27.9477595,-82.4584439
"Winston Salem, NC",574,36.0998131,-80.2440517
"Charlottesville, VA",322,38.029306,-78.476678
"Puebla, Mexico",318,18.833333,-97.9999999
"Marseille, France",314,43.2961743,5.3699525
"Columbia, MO",306,38.951883,-92.3337365
"Hamburg, Germany",302,53.5437641,10.0099133
"Buffalo, NY",300,42.8971799,-78.8533217725477
"North Chicago, IL",300,42.325578,-87.8411817
"Singapore, Singapore",298,1.2904527,103.852038
"Goettingen, Germany",296,51.5327604,9.9352051
"Aurora, CO",296,39.729432,-104.8319195
"Augusta, GA",290,33.4709714,-81.9748428
"Burlington, VT",288,44.4723989,-73.211494
"Barcelona, Spain",286,41.3825596,2.1771353
"Omaha, NE",286,41.2587317,-95.9378731
"Budapest, Hungary",284,47.4983815,19.0404707
"Helsinki, Finland",282,60.1666277,24.9435079
"Quebec, QC, Canada",278,46.8257374,-71.2349113
"Storrs, CT",274,41.8084314,-72.249523
"Hanover, NH",272,43.7033561,-72.2885717
"Bochum, Germany",270,51.482321,7.2187465
"Bristol, United Kingdom",268,51.453493,-2.5973936
"Santa Barbara, CA",268,34.4098107,-119.6970238
"Seoul, Republic Of Korea",268,37.5666791,126.9782914
"Genova, Italy",260,44.40726,8.9338624
"Bordeaux, France",258,44.841225,-0.5800363
